 a anos,há anos
adimissibilidade,admissibilidade
comprimento da pena,cumprimento de pena
comprimento da obrigação,cumprimento da obrigação
comprimento da regra,cumprimento da regra
comprimento da norma,cumprimento da norma
secção de julgamento,sessão de julgamento
seção de julgamento,sessão de julgamento
cessão de julgamento,sessão de julgamento
usucampeão,usucapião
iminente julgador,eminente julgador
iminente juiz,eminente juiz
iminente advogado,eminente advogado
iminente promotor,eminente promotor
iminente procurador,eminente procurador
iminente legislador,eminente legislador
juis de direito,juiz de direito
doutros julgadores,doutos julgadores
doutro julgador,douto julgador
vara unica,vara única
inflingir a norma,infringir a norma
inflingir uma norma,infringir uma norma
inflingir a lei,infringir a lei
inflingir uma lei,infringir uma lei
inflingir o regulamento,infringir o regulamento
inflingir um regulamento,infringir um regulamento
em fasse,em face
não aciste razão,não assiste razão
cliteriosamente,criteriosamente
jurisprudências,jurisprudência
estrupo,estupro
caçar a sentença,cassar a sentença
caçar a decisão,cassar a decisão
caçar a liminar,cassar a liminar
sessão de direitos,cessão de direitos
sessão do direito,cessão do direito
sessão dos direitos,cessão dos direitos
sessão de crédito,cessão de crédito
sessão de créditos,cessão de créditos
caresse,carece
plalsível,plausível
assistir a audiência,assistir à audiência
